Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Citrate cycle (TCA cycle),5/30,0.00020278936359207085,0.0267681959941533,0,0,10.772527472527472,91.60249322534376,IDH3G;IDH3B;OGDHL;SDHA;IDH3A
GO_Biological_Process_2021,isocitrate metabolic process (GO:0006102),3/5,6.060315415699796e-05,0.0794507350998243,0,0,80.44672131147541,781.2312731429907,IDH3G;IDH3B;IDH3A
GO_Biological_Process_2021,synaptic vesicle exocytosis (GO:0016079),5/40,0.0008051643129503315,0.3968621619848427,0,0,7.690737833594976,54.792386258656535,SYT5;STX1B;STX4;DOC2B;CPLX1
GO_Biological_Process_2021,mitochondrion morphogenesis (GO:0070584),3/11,0.0009206974455805948,0.3968621619848427,0,0,20.105532786885245,140.54529582804244,SLIRP;DNM1L;MFF
GO_Biological_Process_2021,tricarboxylic acid metabolic process (GO:0072350),3/12,0.0012108685338973,0.3968621619848427,0,0,17.870673952641166,120.0269051324237,IDH3G;IDH3B;IDH3A
GO_Biological_Process_2021,cell part morphogenesis (GO:0032990),3/13,0.0015526983199232,0.407117499483888,0,0,16.082786885245902,104.01962194874756,SLIRP;MFF;DNM1L
GO_Biological_Process_2021,regulation of potassium ion transport (GO:0043266),4/31,0.0024193336224044,0.4582204361299434,0,0,7.956976154236428,47.934918146856944,DPP10;CD63;DPP6;FHL1
GO_Biological_Process_2021,activation of protein kinase C activity (GO:1990051),2/5,0.0032720108384601,0.4582204361299434,0,0,35.654859218891914,204.0296031815072,PHB;PHB2
GO_Biological_Process_2021,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",3/17,0.0034951978347058,0.4582204361299434,0,0,11.48536299765808,64.96540871593109,COX5B;COX6C;COX5A
GO_Biological_Process_2021,synaptic vesicle membrane organization (GO:0048499),3/17,0.0034951978347058,0.4582204361299434,0,0,11.48536299765808,64.96540871593109,STX1B;AP3D1;STX4
GO_Biological_Process_2021,regulation of mitophagy (GO:1901524),2/5,0.0032720108384601,0.4582204361299434,0,0,35.654859218891914,204.0296031815072,TSC2;VDAC1
GO_Biological_Process_2021,mitochondrial fission (GO:0000266),3/18,0.0041373981061667,0.4931026288349587,0,0,10.71912568306011,58.8232191553348,MFF;DNM1L;GDAP1
GO_Biological_Process_2021,mitochondrial fragmentation involved in apoptotic process (GO:0043653),2/9,0.0112171372247499,0.5167606585856327,0,0,15.277539898793306,68.60092930495641,DNM1L;MFF
GO_Biological_Process_2021,ketone body biosynthetic process (GO:0046951),2/9,0.0112171372247499,0.5167606585856327,0,0,15.277539898793306,68.60092930495641,ACSS3;BDH2
GO_Biological_Process_2021,iron-sulfur cluster assembly (GO:0016226),3/24,0.0094582686852382,0.5167606585856327,0,0,7.654176424668228,35.67509009631638,NFS1;GLRX5;ISCU
GO_Biological_Process_2021,short-chain fatty acid catabolic process (GO:0019626),2/8,0.0088314948222364,0.5167606585856327,0,0,17.82470481380563,84.3007113278211,PCCA;PCCB
GO_Biological_Process_2021,inositol phosphate metabolic process (GO:0043647),4/48,0.0117140643617257,0.5167606585856327,0,0,4.878455790784558,21.69432253082909,PLCH1;PLCD3;PLCD4;PLCD1
GO_Biological_Process_2021,biotin metabolic process (GO:0006768),2/9,0.0112171372247499,0.5167606585856327,0,0,15.277539898793306,68.60092930495641,PCCA;PCCB
GO_Biological_Process_2021,positive regulation of receptor-mediated endocytosis (GO:0048260),4/44,0.0086545678534292,0.5167606585856327,0,0,5.367397260273973,25.493355127850787,ATAD1;CD63;TF;PICK1
GO_Biological_Process_2021,positive regulation of receptor internalization (GO:0002092),3/23,0.0083890257459564,0.5167606585856327,0,0,8.037295081967214,38.424948568640254,ATAD1;CD63;PICK1
GO_Biological_Process_2021,metallo-sulfur cluster assembly (GO:0031163),3/22,0.0073945408399762,0.5167606585856327,0,0,8.46074201898188,41.516973406472985,NFS1;GLRX5;ISCU
GO_Biological_Process_2021,organelle fusion (GO:0048284),3/22,0.0073945408399762,0.5167606585856327,0,0,8.46074201898188,41.516973406472985,STX4;MFF;GDAP1
