Gene,Degree
UQCRC2,19
CYCS,18
SDHA,17
UQCRC1,16
VDAC1,16
UQCRQ,14
COX5A,14
COX5B,14
UQCRB,13
COX6C,12
IMMT,12
UQCRH,12
ATP5PD,11
TOMM70,10
COA6,10
ATP5PO,10
TOMM22,9
DLD,9
ATP5MG,9
TUFM,8
CHCHD3,8
VDAC2,8
MTX1,7
PHB2,7
IDH3B,6
IDH3A,6
APOO,6
CHCHD6,6
PHB,6
IDH3G,5
OGDHL,5
DNM1L,5
FDX2,4
NFS1,4
CPLX1,3
TIMM13,3
DHX9,3
STX4,3
ISCU,3
GLRX5,3
PGD,3
GSTP1,3
PGM2,3
ICAM1,3
PLCD4,2
PCCA,2
PLCD1,2
PLCD3,2
PCCB,2
HSPB1,2
PGM1,2
CD63,2
ACSS3,2
MFF,2
STX17,2
UBE2M,2
CMC2,2
CUL2,2
SCO1,2
COPS5,2
STX1B,1
PDK2,1
ARF5,1
ARF3,1
HSPB6,1
MVK,1
PGLS,1
GGPS1,1
CD99,1
PRDX1,1
PTGS1,1
OTUB1,1
RNF128,1
PAK3,1
SF3B3,1
PAK1,1
SEPTIN9,1
SEPTIN6,1
CD151,1
DOC2B,1
ADH5,1
ATAD1,1
CISD1,1
PRDX6,1
SLIRP,1
SRRT,1
DDX6,1
ALDOA,1
MTAP,1
SMS,1
AP3M2,1
AP3D1,1
