stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000000233,9606.ENSP00000256682,ARF5,ARF3,9606,0.756,0,0,0,0.128,0.477,0.5,0.06
9606.ENSP00000004982,9606.ENSP00000248553,HSPB6,HSPB1,9606,0.902,0,0,0,0.135,0.548,0,0.77
9606.ENSP00000203407,9606.ENSP00000290299,UQCRC1,ATP5PO,9606,0.765,0,0,0,0.478,0.139,0,0.519
9606.ENSP00000203407,9606.ENSP00000482773,UQCRC1,IDH3B,9606,0.766,0,0,0,0.663,0.11,0,0.282
9606.ENSP00000203407,9606.ENSP00000205402,UQCRC1,DLD,9606,0.831,0,0,0,0.698,0.243,0,0.318
9606.ENSP00000203407,9606.ENSP00000355574,UQCRC1,COA6,9606,0.831,0,0,0,0.143,0.512,0.476,0.32
9606.ENSP00000203407,9606.ENSP00000301587,UQCRC1,ATP5PD,9606,0.863,0,0,0,0.654,0.114,0,0.588
9606.ENSP00000203407,9606.ENSP00000441875,UQCRC1,PHB2,9606,0.887,0.045,0,0,0.521,0.645,0,0.39
9606.ENSP00000203407,9606.ENSP00000307786,UQCRC1,CYCS,9606,0.925,0,0,0,0.204,0.57,0.4,0.681
9606.ENSP00000203407,9606.ENSP00000429707,UQCRC1,COX6C,9606,0.965,0,0,0,0.189,0.834,0.594,0.435
9606.ENSP00000203407,9606.ENSP00000264932,UQCRC1,SDHA,9606,0.968,0,0,0,0.842,0.176,0.237,0.719
9606.ENSP00000203407,9606.ENSP00000322439,UQCRC1,TUFM,9606,0.983,0,0,0,0.973,0,0,0.402
9606.ENSP00000203407,9606.ENSP00000309565,UQCRC1,UQCRH,9606,0.999,0,0,0,0.154,0.988,0.944,0.902
9606.ENSP00000203407,9606.ENSP00000258424,UQCRC1,COX5B,9606,0.999,0,0,0,0.748,0.972,0.635,0.826
9606.ENSP00000203407,9606.ENSP00000268379,UQCRC1,UQCRC2,9606,0.999,0,0,0.216,0.955,0.999,0.975,0.972
9606.ENSP00000203407,9606.ENSP00000430494,UQCRC1,UQCRB,9606,0.999,0,0,0,0.74,0.999,0.975,0.964
9606.ENSP00000203407,9606.ENSP00000367939,UQCRC1,UQCRQ,9606,0.999,0,0,0,0.526,0.999,0.975,0.912
9606.ENSP00000203407,9606.ENSP00000317780,UQCRC1,COX5A,9606,0.999,0,0,0,0.848,0.966,0.657,0.716
9606.ENSP00000205402,9606.ENSP00000322439,DLD,TUFM,9606,0.713,0.042,0,0,0.574,0,0,0.354
9606.ENSP00000205402,9606.ENSP00000264932,DLD,SDHA,9606,0.815,0.101,0,0,0.389,0.218,0.149,0.572
9606.ENSP00000205402,9606.ENSP00000268379,DLD,UQCRC2,9606,0.836,0,0,0,0.748,0.243,0,0.209
9606.ENSP00000205402,9606.ENSP00000420927,DLD,PDK2,9606,0.866,0,0,0,0.055,0.091,0.749,0.451
